Transaction_ID,Date,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Method,Region,Customer_Segment
TXN-1073,2026-04-13,Home & Kitchen,Blender Pro,4,79.0,316.0,Credit Card,West,Corporate
TXN-1074,2026-01-22,Home & Kitchen,Air Fryer,2,110.0,220.0,Debit Card,South,Home Office
TXN-1075,2026-04-05,Electronics,Wireless Headphones,4,89.99,359.96,PayPal,East,Home Office
TXN-1076,2026-05-29,Apparel,Cotton T-Shirt,1,20.0,20.0,PayPal,South,Home Office
TXN-1077,2026-02-09,Apparel,Waterproof Jacket,1,150.0,150.0,UPI,North,Home Office
TXN-1078,2026-03-10,Office Supplies,Gel Pens 12-Pack,2,15.0,30.0,Net Banking,North,Consumer
TXN-1079,2026-03-05,Electronics,USB-C Hub,2,25.5,51.0,Debit Card,West,Home Office
TXN-1080,2026-04-07,Electronics,Mechanical Keyboard,5,120.0,600.0,Debit Card,West,Consumer
TXN-1081,2026-05-02,Apparel,Cotton T-Shirt,3,20.0,60.0,Net Banking,South,Corporate
TXN-1082,2026-01-16,Apparel,Running Shoes,3,110.0,330.0,UPI,North,Consumer
TXN-1083,2026-04-06,Apparel,Running Shoes,5,110.0,550.0,UPI,East,Consumer
TXN-1084,2026-02-23,Apparel,Sports Socks,3,12.5,37.5,Net Banking,South,Home Office
TXN-1085,2026-01-08,Electronics,Wireless Headphones,3,89.99,269.97,Debit Card,North,Home Office
TXN-1086,2026-02-03,Office Supplies,Standing Desk,4,399.99,1599.96,UPI,West,Corporate
TXN-1087,2026-05-17,Home & Kitchen,Blender Pro,1,79.0,79.0,PayPal,North,Corporate
TXN-1088,2026-01-20,Electronics,Mechanical Keyboard,4,120.0,480.0,Debit Card,East,Home Office
TXN-1089,2026-04-23,Electronics,Mechanical Keyboard,5,120.0,600.0,Net Banking,North,Home Office
TXN-1090,2026-04-16,Office Supplies,Standing Desk,2,399.99,799.98,PayPal,West,Home Office
TXN-1091,2026-05-22,Office Supplies,Whiteboard 4x3,2,45.0,90.0,Debit Card,East,Corporate
TXN-1092,2026-05-21,Office Supplies,Ergonomic Chair,3,249.5,748.5,UPI,East,Home Office
TXN-1093,2026-03-08,Home & Kitchen,Knife Set,5,65.0,325.0,Debit Card,West,Corporate
TXN-1094,2026-05-12,Electronics,Mechanical Keyboard,2,120.0,240.0,Credit Card,West,Home Office
TXN-1095,2026-02-19,Home & Kitchen,Knife Set,1,65.0,65.0,Net Banking,East,Corporate
TXN-1096,2026-04-26,Office Supplies,Standing Desk,5,399.99,1999.95,Credit Card,South,Home Office
TXN-1097,2026-01-03,Electronics,4K Monitor,3,299.99,899.97,Debit Card,South,Corporate
TXN-1098,2026-05-01,Home & Kitchen,Coffee Maker,5,135.0,675.0,Credit Card,East,Home Office
TXN-1099,2026-04-10,Electronics,Mechanical Keyboard,2,120.0,240.0,UPI,East,Home Office
